ID,FoodGroup,Descrip,Energy_kcal,Protein_g,Fat_g,Carb_g,Sugar_g,Fiber_g,VitA_mcg,VitB6_mg,VitB12_mcg,VitC_mg,VitE_mg,Folate_mcg,Niacin_mg,Riboflavin_mg,Thiamin_mg,Calcium_mg,Copper_mcg,Iron_mg,Magnesium_mg,Manganese_mg,Phosphorus_mg,Selenium_mcg,Zinc_mg,VitA_USRDA,VitB6_USRDA,VitB12_USRDA,VitC_USRDA,VitE_USRDA,Folate_USRDA,Niacin_USRDA,Riboflavin_USRDA,Thiamin_USRDA,Calcium_USRDA,Copper_USRDA,Magnesium_USRDA,Phosphorus_USRDA,Selenium_USRDA,Zinc_USRDA,Description,Enery_kcal,Protein,Sodium,SaturatedFat,Cholesterol,Potassium,VitaminD,FoodGroup_Encoded
11780,,,,,-0.619876631802544,-0.6551901149499786,0.030449677272102082,,,,,0.13067816131670737,0.03058395890730798,,,,,-0.017280471135636695,,-0.283861647763787,,,,,,,,,,,,,,,,,,,,,"COWPEAS,LEAFY TIPS,CKD,BLD,DRND,W/SALT",22.0,4.67,242.0,0.026,0.0,351.0,0.0,25
11781,,,,,-0.5897200524190925,-0.6188014713827279,-0.36228966260457957,,,,,0.19561948519743377,-0.21122830108356458,,,,,-0.05536713462906696,,-0.3323003570664669,,,,,,,,,,,,,,,,,,,,,"CRESS,GARDEN,CKD,BLD,DRND,W/SALT",23.0,1.9,244.0,0.02,0.0,353.0,0.0,25
11782,,,,,-0.5897200524190925,-0.5241909981078762,-0.47599354336238847,,,,,0.1250310896749051,-0.18674004039128855,,,,,0.3207386673685569,,-0.16527032498826044,,,,,,,,,,,,,,,,,,,,,"DANDELION GRNS,CKD,BLD,DRND,W/SALT",33.0,2.0,280.0,3.452267130383306,0.0,232.0,0.0,25
11783,,,,,-0.6120359211628466,-0.46087475830085994,-0.3554216429614904,,,,,-0.11073415137034069,-0.23326773570661302,,,,,-0.3172129461464,,-0.4241668747094804,,,,,,,,,,,,,,,,,,,,,"EGGPLANT,CKD,BLD,DRND,W/SALT",33.0,0.83,239.0,0.044,0.0,123.0,0.0,25
11784,,,,,-0.6247016845038963,-0.6442735218798034,0.030449677272102082,,,,,-0.009086861817899394,0.03058395890730798,,,,,-0.2315179532861819,,-0.4241668747094804,,,,,,,,,,,,,,,,,,,,,"GOURD,WHITE-FLOWERED (CALABASH),CKD,BLD,DRND,W/SALT",13.0,0.6,238.0,0.002,0.0,170.0,0.0,25
11785,,,,,-0.6054014736984873,-0.2567344678885837,-0.2050883241072062,,,,,-0.04861636331051545,-0.27489777888348227,,,,,-0.30293044733636365,,-0.4057935711808777,,,,,,,,,,,,,,,,,,,,,"GOURD,DISHCLOTH (TOWELGOURD),CKD,BLD,DRND,W/SALT",54.0,0.66,257.0,0.027,0.0,453.0,0.0,25
11786,,,,,-0.5698167100260146,-0.3513449411634354,-0.5233065675703358,,,,,0.3085609180334796,-0.3091813438526687,,,,,0.3731078296720235,,-0.07841470830759315,,,,,,,,,,,,,,,,,,,,,"DRUMSTICK LEAVES,CKD,BLD,DRND,W/ SALT",60.0,5.27,245.0,3.452267130383306,0.0,344.0,0.0,25
11787,,,,,-0.6144484475135228,-0.45941921255817,0.030449677272102082,,,,,1.2403277389308582,0.03058395890730798,,,,,-0.25056128503289704,,-0.3907608682938391,,,,,,,,,,,,,,,,,,,,,"DRUMSTICK PODS,CKD,BLD,DRND,W/ SALT",36.0,2.09,279.0,3.452267130383306,0.0,457.0,0.0,25
11788,,,,,-0.6096233948121705,-0.4223027961195743,0.030449677272102082,,,,,-0.0570869707732189,0.03058395890730798,,,,,-0.1505837933626426,,-0.33898155834959515,,,,,,,,,,,,,,,,,,,,,"HYACINTH-BEANS,IMMAT SEEDS,CKD,BLD,DRND,W/SALT",50.0,2.95,238.0,0.119,0.0,262.0,0.0,25
11789,,,,,-0.6138453159258538,-0.4918051053330231,-0.5233065675703358,,,,,0.3367962762424911,-0.3165278220603515,,,,,0.6587578058727503,,0.05854991799653617,,,,,,,,,,,,,,,,,,,,,"JUTE,POTHERB,CKD,BLD,DRND,W/SALT",37.0,3.68,247.0,0.03,0.0,550.0,0.0,25
11790,,,,,-0.6017826841724732,-0.5522102536546593,-0.5042287352284215,,,,,0.449737709078537,-0.12551938866059847,,,,,-0.0029979723256003477,,-0.31559735385864623,,,,,,,,,,,,,,,,,,,,,"KALE,CKD,BLD,DRND,W/SALT",28.0,1.9,259.0,0.052,0.0,228.0,0.0,25
11791,,,,,-0.5963544998834519,-0.5667657110815594,-0.4973607155853324,,,,,0.2266783792273464,-0.10837760617600523,,,,,0.3112170014951993,,-0.30891615257551797,,,,,,,,,,,,,,,,,,,,,"KALE,FRZ,CKD,BLD,DRND,W/SALT",30.0,2.84,251.0,0.063,0.0,321.0,0.0,25
11792,,,,,-0.6011795525848042,-0.5525741400903317,0.030449677272102082,,,,,0.6163263225117046,0.03058395890730798,,,,,0.2826520038751266,,-0.14355642081809364,,,,,,,,,,,,,,,,,,,,,"KALE,SCOTCH,CKD,BLD,DRND,W/SALT",28.0,1.9,281.0,0.053,0.0,274.0,0.0,25
11793,,,,,-0.619273500214875,-0.5136382914733734,-0.38594617470855325,,,,,0.6332675374371115,-0.20633064894510939,,,,,-0.22675712034950313,,-0.39911236989774945,,,,,,,,,,,,,,,,,,,,,"KOHLRABI,CKD,BLD,DRND,W/SALT",29.0,1.8,257.0,0.014,0.0,340.0,0.0,25
11794,,,,,-0.5836887365424023,-0.5751350991020271,-0.5523048727300454,,,,,0.393266992660514,0.03058395890730798,,,,,0.8825169538966532,,-0.34900336027428747,,,,,,,,,,,,,,,,,,,,,"LAMBS QUARTERS,CKD,BLD,DRND,W/SALT",32.0,3.2,265.0,0.052,0.0,288.0,0.0,25
11795,,,,,-0.6138453159258538,-0.4797968529558303,-0.4386009919722365,,,,,-0.06979288196727405,-0.21122830108356458,,,,,-0.2029529556661092,,-0.28219134744300495,,,,,,,,,,,,,,,,,,,,,"LEEKS,(BULB&LOWER LEAF-PORTION),CKD,BLD,DRND,W/SALT",31.0,0.81,246.0,0.027,0.0,87.0,0.0,25
